fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality_value,quality
11.5,1.25,0.89,49,0.316,161.6,234.6,1.00956,3.28,1.16,11.1,3,Low
11.7,0.98,1.18,45.4,0.317,194.1,393,1.01499,3.14,1.23,11.5,3,Low
7.7,1.05,0.65,42.9,0.16,156.5,242.2,1.01827,2.96,0.96,12.2,3,Low
9.1,0.96,0.73,47.6,0.244,196.1,214,1.01495,2.99,1.48,11.1,3,Low
7.1,0.8,0.96,44.3,0.301,140.4,234.7,1.01759,3.16,1.09,13.7,3,Low
8.2,0.69,1.09,34.4,0.11,173.1,299.2,0.99931,3.12,1.5,11.8,3,Low
9.3,1.25,1.12,42,0.239,119.2,243.6,1.01775,3.15,0.73,12.8,3,Low
8,0.71,0.96,50.6,0.17,154.6,263.1,1.01218,3.26,1.32,11.5,3,Low
13.1,1.41,0.98,37.6,0.107,194.1,313.2,1.01306,3.05,0.86,11.7,3,Low
10.7,1.43,1.25,28.8,0.18,198.1,360.8,1.01128,3.41,1.37,11.7,3,Low
11.7,0.71,0.69,46.1,0.366,152.9,379.2,1.01588,2.97,1.67,9.8,3,Low
9,0.8,0.8,43.3,0.195,71.9,158.2,1.02158,3,1.47,11,3,Low
12.2,1.08,1.07,41.3,0.158,201.6,319.7,1.02318,3.26,1.55,11.2,3,Low
11.1,0.62,0.86,48.3,0.176,176.5,318.3,1.02493,2.98,0.85,12.2,3,Low
8.2,1.31,1.07,51,0.115,158.6,393.9,1.02163,3.04,0.75,11.3,3,Low
10.3,0.5,0.99,43.4,0.194,167.6,299.3,1.02433,2.94,1.1,12.8,3,Low
12,1.33,1.03,30.4,0.247,266.2,336.8,1.02633,3.01,0.91,11.4,3,Low
12.1,1.17,1.34,42,0.457,176.4,202,1.01618,3,1.22,12.8,3,Low
12.1,0.87,1.16,49.1,0.234,97.5,221.4,1.01362,3.03,0.97,10.8,3,Low
13,0.82,1.34,54.1,0.309,151.2,231.9,1.01463,3.26,0.81,9.3,3,Low
8.3,0.86,1.41,42.2,0.191,149.9,160.4,1.01225,3.15,1.62,11.2,3,Low
7.8,1.22,1.2,29.2,0.187,181.2,195.6,1.01635,3.07,1.45,11.3,3,Low
11.5,0.74,1.03,53.6,0.099,146.8,398,1.02866,2.98,1.03,11.5,3,Low
10.2,0.52,0.87,35.4,0.194,149.9,330.8,1.01269,3.22,1.06,13.3,3,Low
12.3,1.04,1.13,44.3,0.167,151.5,314.4,0.99585,3.14,1.5,11.6,3,Low
11.7,1.17,0.9,35.3,0.158,227.4,273,1.00462,3.16,1.2,10.9,3,Low
11.6,1.07,0.69,41.2,0.21,223.1,302.4,1.02436,3.02,0.89,12.3,3,Low
11,0.72,1.14,47.6,0.14,100.5,263.3,1.0088,3.09,1.08,11.8,3,Low
13.1,0.95,1.15,43.9,0.321,201.4,262.3,1.0216,3.02,1.07,11.4,3,Low
13.1,1.19,0.83,50.4,0.37,199.5,308.5,1.01548,3.08,0.89,11.6,3,Low
12.3,0.9,0.86,33.3,0.304,192.2,283,1.01921,2.94,1.64,10,3,Low
12,0.58,1.29,38.7,0.197,171.9,339,1.01552,2.93,0.98,12.1,3,Low
8.1,1.01,1.28,48.5,0.451,133.6,397.2,1.00927,3.24,1.48,12.1,3,Low
9.2,1.14,1.19,45,0.169,50.1,300.9,1.0188,2.92,0.97,10.9,3,Low
9,0.45,0.86,47.6,0.448,101.8,248.3,1.0234,3.13,0.99,12.3,3,Low
12.2,0.86,1.09,48.1,0.273,164.2,317.1,1.00766,3.3,1.05,11.6,3,Low
12.9,1.3,0.67,42.7,0.314,184,355.4,1.02163,3.34,0.51,13.2,3,Low
11.9,0.78,1.2,55.3,0.19,115.7,370.7,1.02048,3.02,1.37,12.5,3,Low
10,1.2,0.72,46.4,0.264,193.6,375.3,1.00934,2.93,1.52,12.7,3,Low
14.5,0.67,1.24,33.9,0.213,104.4,273.9,1.02321,3.1,0.94,12,3,Low
10.4,1.01,1.13,45.4,0.233,171.6,347.8,1.02598,3.04,1.37,13.1,3,Low
10,0.44,1.1,44.5,0.176,169.8,265.6,1.02391,3.03,1.18,13,3,Low
9.4,1.03,1.09,39.2,0.365,225.1,361.6,1.02566,3.18,1.18,13.1,3,Low
11.1,1.16,1.12,54.6,0.527,255.6,366.1,1.02866,2.97,0.91,10.6,3,Low
13.3,0.69,1.03,48.9,0.097,146.9,172.1,1.01201,2.94,1.66,12.5,3,Low
12.4,1.42,0.85,52.9,0.225,223.3,308.9,1.02132,2.96,1.19,13.6,3,Low
8.1,1.01,1.28,48.5,0.451,133.6,397.2,1.00927,3.24,1.48,12.1,3,Low
9.4,1.18,0.95,40.6,0.317,156.6,229,1.02553,2.95,0.97,11.5,3,Low
12,0.86,0.59,38.4,0.272,245.3,332.4,1.02367,3.14,1.14,11.8,3,Low
13,0.46,1.05,43.9,0.355,190.8,284.5,1.02267,3.04,1.36,11.1,3,Low
12.3,1.2,0.51,14.2,0.192,203.8,343.6,1.01706,3.05,1.4,12.5,3,Low
10.6,0.52,1.03,44,0.33,108.2,162,1.01908,3.4,0.88,9.1,3,Low
11.5,0.73,1.41,52.4,0.152,125,392,1.01798,3.46,1.44,13.2,3,Low
13.2,1.17,0.96,59.6,0.299,142,261.6,1.00927,3.27,1.29,11.8,3,Low
10,0.98,0.82,40.5,0.231,130,322.9,1.01837,2.93,1.55,11.6,3,Low
11.2,1.09,1.08,47.8,0.208,200,186,1.01498,3.26,1.04,12.6,3,Low
12,0.33,1.08,29.4,0.297,155.9,300.1,1.00742,3.24,1.8,11.8,3,Low
11.6,1.06,0.58,34.9,0.345,223,341.6,1.01291,3.37,1.39,12.1,3,Low
10.4,0.99,1.07,43.3,0.17,72.5,310.3,1.01832,2.9,1.31,12.5,3,Low
13.3,1.13,1.03,38.9,0.272,212.5,285.6,1.01294,3.03,1.17,11.2,3,Low
11.8,1.06,1.12,43.1,0.117,106.7,272.2,1.01505,3.15,1.38,12.5,3,Low
12.5,0.87,1.03,38.7,0.121,173.6,256.5,1.02569,2.95,1.5,11.2,3,Low
11.2,1.16,0.95,46.6,0.348,192,368,0.99906,3,1.56,12.5,3,Low
14,1.2,1.39,32.6,0.477,254.3,247.2,1.02722,3.24,1.52,12.8,3,Low
11.5,0.96,0.92,43.5,0.115,234.7,324,1.01586,3.2,0.81,10.7,3,Low
11.7,1.17,0.9,35.3,0.158,227.4,273,1.00462,3.16,1.2,10.9,3,Low
8.1,1.14,0.7,58.8,0.216,134.1,269.5,1.01802,3.41,1,12.1,3,Low
11.1,1.16,1.11,52.3,0.244,259.9,393.5,1.01562,3.33,0.8,10.7,3,Low
13,0.9,1.07,47.6,0.335,215.9,197.9,1.01361,3.12,0.98,10.8,3,Low
9.7,0.73,1.24,54.4,0.407,129.1,265.4,1.02524,3.03,0.84,11.9,3,Low
12.2,1.19,1.08,42.8,0.157,198.1,192.7,1.02849,2.99,1.49,10.1,3,Low
15,1.14,0.56,53,0.391,249.2,219.6,1.02496,2.93,1.41,10.1,3,Low
10.2,1.14,1.27,35.7,0.159,160.2,215.2,1.00762,3.21,1.6,11.9,3,Low
9.1,1.15,1.37,42.1,0.267,219.5,239.1,1.01347,3.16,1.15,11.1,3,Low
13,1.13,0.4,31,0.375,235.7,377.9,1.02486,3.01,1.62,11.9,3,Low
11,0.84,1.23,25.2,0.076,193.9,312.8,1.01244,3.29,1.38,12.8,3,Low
8.4,0.9,0.9,47.8,0.226,151,282.6,1.0272,3.01,1.28,11.7,3,Low
11.7,1.46,0.59,50,0.25,244.7,380.2,1.00627,3.31,1.49,10.4,3,Low
14.3,1.14,1.54,55.3,0.533,213.3,359.2,1.01413,3.38,1.28,11.8,3,Low
12.2,0.72,0.97,47,0.284,188.5,250.2,1.00324,3.2,1.22,11.2,3,Low
9.2,0.96,0.95,46.1,0.247,102.8,301,1.002,2.97,1.76,12.9,3,Low
13.1,0.87,1.09,48.2,0.17,215.5,211,1.00617,3.02,1.64,10.5,3,Low
8.7,1.21,1.31,43.4,0.293,181.7,328.9,1.02277,3.29,0.74,11.3,3,Low
11.3,0.74,1.03,37.6,0.297,186,321.8,1.00246,3.19,1.48,10.2,3,Low
9.1,1.14,0.92,45.6,0.11,165.9,237.2,1.02377,2.88,1.72,11,3,Low
11.6,0.91,0.95,40.1,0.321,98.9,211.6,1.01236,2.91,1.31,11.9,3,Low
9.6,1,1.49,46.8,0.349,175.3,363.3,1.0261,3.18,1.29,12.5,3,Low
10.7,1.21,1.07,43.9,0.434,122.1,288.5,1.01162,2.92,0.92,11.1,3,Low
9.1,1.08,1.16,33.5,0.272,94.1,232.5,1.00638,3.19,1.16,12.5,3,Low
11.6,0.93,0.68,37.6,0.359,209.9,327.3,1.00499,3.22,1.11,11.5,3,Low
7.7,1,1.25,42.9,0.223,83.2,226.8,1.01586,2.87,1.53,11.9,3,Low
12.9,0.7,0.69,54.5,0.312,106.2,245.4,1.02749,3.45,1.44,10.7,3,Low
8.4,0.76,1.19,48,0.178,169,199.4,1.01386,3.48,1.24,11.7,3,Low
13.4,1.29,0.85,39.4,0.282,204.3,247.6,1.01838,2.93,1.49,11.6,3,Low
12.9,0.73,0.91,47.2,0.41,82.2,289.3,1.01703,2.88,1.53,12.1,3,Low
11.2,1.07,0.88,43.1,0.413,154,377.6,1.01536,2.96,1.27,12.7,3,Low
9.5,1.19,1.3,28.3,0.27,161.6,233.3,1.02054,3.42,1.53,11.7,3,Low
13.4,1.15,1.09,53.7,0.256,207,349.3,1.02634,2.95,0.84,11.2,3,Low
12.7,0.93,1.09,37.1,0.327,134.4,151.8,1.02383,3.04,1.26,10.3,3,Low
15.2,0.67,0.81,56.1,0.36,203.8,338.7,1.02113,2.84,1.22,9.1,3,Low
10.9,0.89,1.26,52.3,0.488,159.2,362.2,1.02196,3.26,1.01,11.6,3,Low
8.4,1.14,0.87,36.7,0.32,167.2,390.2,1.02012,3.04,1.28,13.8,3,Low
11.9,0.87,1.13,45.4,0.15,203.4,367,1.00778,3.17,1.22,10.1,3,Low
11.5,1.38,1.39,31.4,0.339,209.9,215.5,1.03414,3.06,1.45,12.8,3,Low
10.7,0.83,1.32,51.1,0.247,214.7,256.6,1.00873,3.39,0.65,11.3,3,Low
7.3,1.13,0.88,53.4,0.288,193.4,201.4,1.00312,3.44,1.56,12.8,3,Low
12.5,1.23,1.13,34.3,0.148,159.8,352.9,1.01197,3.22,0.92,11.6,3,Low
6,0.94,1.48,36.3,0.322,179.7,305.7,1.0157,3.17,1.5,13.4,3,Low
10.3,0.5,0.99,43.4,0.194,167.6,299.3,1.02433,2.94,1.1,12.8,3,Low
10.1,0.97,0.66,25.6,0.303,148.2,256.3,1.02345,3.16,1.36,11.7,3,Low
10.4,1.02,1.08,56.1,0.286,184.6,364.4,1.02689,3.13,1.64,11.8,3,Low
15.3,0.6,0.88,31.2,0.244,81.7,227.9,0.99969,3.4,1.19,10,3,Low
9.6,1.35,1.5,31.2,0.236,267.3,248.5,1.02342,3.24,1.22,10.9,3,Low
13.3,1.13,1.03,38.9,0.272,212.5,285.6,1.01294,3.03,1.17,11.2,3,Low
11.7,0.94,0.97,28,0.265,192.4,303.7,1.00949,3.21,1.12,12.9,3,Low
9.8,0.57,0.91,41,0.326,167.7,328.9,1.0236,3.21,1.16,13,3,Low
8.4,0.78,1.17,40.6,0.229,100.6,260.1,1.01976,3.33,1.1,12.5,3,Low
10.5,1,1.25,41.7,0.438,210.4,188.9,1.0151,2.99,1.4,11.4,3,Low
12.3,1.06,1.15,20.4,0.12,177,212.2,1.02458,3.2,1.42,10.5,3,Low
10.3,1.04,1.42,58.1,0.288,180.6,361.3,1.02273,3.27,0.71,13.2,3,Low
8.2,1.12,0.79,46.4,0.348,190.8,211.7,1.01895,3.38,1.19,11.3,3,Low
10.4,0.88,1.14,58.5,0.405,167.8,374.4,1.02161,2.97,1.16,11.3,3,Low
9.4,1.05,0.75,42.3,0.139,179.4,219.2,1.02197,3.02,1.36,12.7,3,Low
12.3,1.1,1.27,48.6,0.302,184.2,236,1.0201,3.37,1.28,10.5,3,Low
9.1,0.91,1.41,35.7,0.214,214.5,364.1,1.01444,3.35,1.64,10.3,3,Low
12.4,0.44,0.92,56,0.117,98.9,110.5,1.02664,3.17,1.11,10.8,3,Low
8.3,0.71,1.42,47.2,0.437,115.5,214.8,1.01466,3.05,1.26,12,3,Low
13.5,1.1,0.24,30.2,0.298,195.1,371.6,1.00844,3.03,1.22,12.9,3,Low
11.5,1.25,0.89,49,0.316,161.6,234.6,1.00956,3.28,1.16,11.1,3,Low
6.1,1.05,1.09,40.3,0.251,78.1,168,1.02331,3.08,1.04,11.4,3,Low
10,0.97,0.7,40.8,0.223,165.2,129.8,1.0113,3.31,1.63,11.1,3,Low
7.8,1.06,1.17,50.1,0.243,209.5,345.9,1.01504,3.06,1.09,12.5,3,Low
8.3,0.66,1.12,56.8,0.173,159.5,336,1.01268,3.36,0.76,11.5,3,Low
9.6,1.22,1.26,48.9,0.261,168.7,333.6,1.02591,2.87,0.94,12.3,3,Low
13.3,0.66,1.21,60.4,0.398,208,372.4,1.02392,3.39,1.03,10.7,3,Low
11.4,0.82,1.09,35.8,0.16,211.3,194.8,1.01269,3.26,0.8,11.7,3,Low
11.6,1.22,1.03,43.5,0.312,241.5,298.5,1.02221,3.12,0.99,10.3,3,Low
13.2,0.56,1.1,41,0.203,205.9,337.5,1.0212,3.02,1.42,11.3,3,Low
8.2,0.8,1.46,37,0.341,183.2,348.8,1.0197,3.19,1.17,11.7,3,Low
9.8,0.78,1.01,31.2,0.134,125.1,245.5,1.00719,2.98,1.36,11,3,Low
13.5,1.09,1.33,49.5,0.385,226.5,277.4,1.01755,2.85,1.3,10.5,3,Low
13.6,1.03,1.2,44.3,0.408,217,212.6,1.01582,3.36,1.02,11.1,3,Low
11,1.19,1.23,41.3,0.25,201.1,343.1,1.02113,3.05,1.19,12,3,Low
11.9,0.71,0.64,48.3,0.294,246.2,256.6,1.01109,3.08,1.24,11.7,3,Low
10.1,0.65,0.72,42.3,0.311,120.8,231.6,1.01948,2.89,1.45,11.6,3,Low
10.5,0.58,1.42,46.3,0.305,124.8,286.3,1.0225,3.03,1.01,9.8,3,Low
11.8,1.02,0.71,30.3,0.225,240.7,182.3,1.00809,3.13,1.83,12.9,3,Low
13.5,0.73,1.08,58.1,0.307,119.3,287.5,1.00853,3.05,0.97,11.7,3,Low
9.1,0.7,0.92,33.5,0.238,238.9,270.8,1.02301,3.13,1.5,11.3,3,Low
11.7,1.1,1.06,38.9,0.224,229.2,268.4,1.01358,3.51,1.37,11.3,3,Low
10,0.69,0.88,39.4,0.216,157.2,215.4,1.00366,3.11,1.35,11.7,3,Low
13.3,1.32,1.23,42.7,0.27,171.3,372.4,1.02201,3.18,1.17,13.1,3,Low
7.8,0.55,0.88,42.5,0.381,89.5,348.6,1.02848,3.21,1.24,12.1,3,Low
9.6,0.66,1.42,27.2,0.1,137.1,228,1.00716,3.39,1.21,11.4,3,Low
11.5,1.34,1.1,50.7,0.319,240.1,272.2,1.01386,3.24,0.65,13.6,3,Low
8.1,1.17,0.82,48.5,0.255,179.7,235.7,1.02322,3.04,1.1,12.5,3,Low
12.8,1.31,0.97,41.6,0.376,253.3,379.9,1.01814,2.95,1.28,11.4,3,Low
10.7,0.84,0.51,47.3,0.416,164.7,318.4,1.00543,3.15,1.22,12,3,Low
12.2,1.42,0.86,44.9,0.165,165.3,247,1.00669,2.87,1.53,11.4,3,Low
9.5,0.89,1.34,40.1,0.199,116.1,182,1.01828,3.12,0.87,10.6,3,Low
7.6,1.49,0.77,53.4,0.416,251.8,380.5,1.02122,3.21,0.79,12.7,3,Low
12.1,0.65,1.09,55.8,0.31,122.9,353.9,1.02473,3.56,1.04,9.5,3,Low
9.6,1.43,0.98,44.3,0.206,208.3,388.1,1.02019,3.17,1.45,13.8,3,Low
13.8,0.82,1.05,34.4,0.263,188.7,265.7,1.01396,2.97,1.16,11,3,Low
10.8,1.02,1.08,26.4,0.267,214.9,350.5,1.01325,3.07,1.38,11.9,3,Low
10.2,0.92,1.16,44.1,0.201,222.2,283.1,1.0195,2.92,1.54,12.8,3,Low
11.6,0.91,0.95,40.1,0.321,98.9,211.6,1.01236,2.91,1.31,11.9,3,Low
11.6,1.24,1.19,38.4,0.264,110.6,201.4,1.02042,3.05,1.28,13.2,3,Low
9.4,1.11,0.9,55.4,0.161,146.6,152,0.99968,3.19,1.18,10.8,3,Low
10.8,1.05,1.43,48,0.302,174.9,146.8,1.02056,3.32,0.91,10.6,3,Low
11.5,0.91,0.91,38.2,0.126,179.2,284.9,1.00693,3.07,1.04,12.3,3,Low
11.4,0.92,0.49,37.1,0.208,198,393.2,1.00817,3.23,1.53,12.4,3,Low
10,1.08,1.03,35.1,0.225,151.3,267.7,0.99786,3.04,1.18,11.5,3,Low
10.1,1.11,0.92,54.4,0.265,200.6,293.2,1.02075,3.62,1.12,11.5,3,Low
11.2,1.08,1.17,52.6,0.271,174.5,370.4,1.02629,2.96,1.24,11.3,3,Low
9.1,1.15,1.08,26.8,0.363,237.4,235.1,1.01295,3.45,1.71,12.8,3,Low
13.5,0.84,0.82,33.6,0.32,204.2,214.8,1.02168,3.16,1.34,9.9,3,Low
13.2,0.6,1.02,34.2,0.186,225.1,242.8,1.02047,3.06,1.38,10.8,3,Low
10,1.37,1.25,39.4,0.289,201.5,382.9,1.02814,2.91,1.29,13.2,3,Low
11.8,1.02,0.71,30.3,0.225,240.7,182.3,1.00809,3.13,1.83,12.9,3,Low
11.9,0.6,1.1,47.7,0.281,140.5,210.1,1.02431,3.17,0.9,11.7,3,Low
12.8,0.57,1.1,40.6,0.33,109.7,386.1,1.0248,3.09,1.05,10.6,3,Low
13.5,1.23,0.75,45.4,0.291,123.8,243.5,1.03296,2.95,1.16,11.6,3,Low
7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,4,Low
5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,4,Low
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4,Low
4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4,Low
